14:40:03.450 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/mnt/ufs18/home-212/harmanm4/miniconda3/envs/gatk/bin/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
14:40:03.624 INFO  HaplotypeCaller - ------------------------------------------------------------
14:40:03.625 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.3.0.0
14:40:03.625 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
14:40:03.625 INFO  HaplotypeCaller - Executing as harmanm4@lac-353 on Linux v3.10.0-1160.36.2.el7.x86_64 amd64
14:40:03.625 INFO  HaplotypeCaller - Java runtime: Java HotSpot(TM) 64-Bit Server VM v1.8.0_152-b16
14:40:03.625 INFO  HaplotypeCaller - Start Date/Time: December 3, 2022 2:40:03 PM EST
14:40:03.625 INFO  HaplotypeCaller - ------------------------------------------------------------
14:40:03.625 INFO  HaplotypeCaller - ------------------------------------------------------------
14:40:03.626 INFO  HaplotypeCaller - HTSJDK Version: 3.0.1
14:40:03.626 INFO  HaplotypeCaller - Picard Version: 2.27.5
14:40:03.626 INFO  HaplotypeCaller - Built for Spark Version: 2.4.5
14:40:03.626 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
14:40:03.626 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
14:40:03.626 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
14:40:03.626 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
14:40:03.626 INFO  HaplotypeCaller - Deflater: IntelDeflater
14:40:03.626 INFO  HaplotypeCaller - Inflater: IntelInflater
14:40:03.626 INFO  HaplotypeCaller - GCS max retries/reopens: 20
14:40:03.626 INFO  HaplotypeCaller - Requester pays: disabled
14:40:03.627 INFO  HaplotypeCaller - Initializing engine
14:40:04.061 INFO  HaplotypeCaller - Done initializing engine
14:40:04.070 INFO  HaplotypeCallerEngine - Disabling physical phasing, which is supported only for reference-model confidence output
14:40:04.085 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/mnt/ufs18/home-212/harmanm4/miniconda3/envs/gatk/bin/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
14:40:04.118 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/mnt/ufs18/home-212/harmanm4/miniconda3/envs/gatk/bin/gatk-package-4.3.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
14:40:04.157 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
14:40:04.166 INFO  IntelPairHmm - Available threads: 10
14:40:04.166 INFO  IntelPairHmm - Requested threads: 4
14:40:04.166 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
14:40:04.191 INFO  ProgressMeter - Starting traversal
14:40:04.192 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
14:40:04.708 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position Chr1:184 and possibly subsequent; at least 10 samples must have called genotypes
14:40:14.262 INFO  ProgressMeter -           Chr1:84863              0.2                   510           3038.7
14:40:24.643 INFO  ProgressMeter -          Chr1:197825              0.3                  1200           3520.8
14:40:34.664 INFO  ProgressMeter -          Chr1:260751              0.5                  1600           3150.4
14:40:44.714 INFO  ProgressMeter -          Chr1:414820              0.7                  2530           3746.1
14:40:55.152 INFO  ProgressMeter -          Chr1:533164              0.8                  3220           3791.3
14:41:05.491 INFO  ProgressMeter -         Chr1:1160523              1.0                  5550           5432.4
14:41:15.529 INFO  ProgressMeter -         Chr1:1271909              1.2                  6210           5223.1
14:41:25.970 INFO  ProgressMeter -         Chr1:1506528              1.4                  7390           5422.1
14:41:37.836 INFO  ProgressMeter -         Chr1:1567958              1.6                  7770           4978.4
14:41:47.988 INFO  ProgressMeter -         Chr1:1718946              1.7                  8600           4971.3
14:41:58.018 INFO  ProgressMeter -         Chr1:1898440              1.9                  9540           5028.7
14:42:08.019 INFO  ProgressMeter -         Chr1:2048743              2.1                 10310           4995.7
14:42:18.414 INFO  ProgressMeter -         Chr1:2328643              2.2                 11420           5105.0
14:42:28.993 INFO  ProgressMeter -         Chr1:2416391              2.4                 11970           4959.9
14:42:39.132 INFO  ProgressMeter -         Chr1:2694094              2.6                 13380           5181.4
14:42:49.181 INFO  ProgressMeter -         Chr1:2845033              2.7                 14150           5145.8
14:42:59.185 INFO  ProgressMeter -         Chr1:3043013              2.9                 15140           5191.1
14:43:09.704 INFO  ProgressMeter -         Chr1:3142070              3.1                 15710           5081.1
14:43:20.150 INFO  ProgressMeter -         Chr1:3200844              3.3                 16080           4923.5
14:43:30.288 INFO  ProgressMeter -         Chr1:3374639              3.4                 17040           4960.8
14:43:40.394 INFO  ProgressMeter -         Chr1:3506912              3.6                 17820           4945.4
14:43:50.412 INFO  ProgressMeter -         Chr1:3629267              3.8                 18510           4909.4
14:44:00.454 INFO  ProgressMeter -         Chr1:3790141              3.9                 19400           4926.7
14:44:10.469 INFO  ProgressMeter -         Chr1:3884163              4.1                 19910           4850.6
14:44:21.696 INFO  ProgressMeter -         Chr1:4006927              4.3                 20610           4802.3
14:44:31.951 INFO  ProgressMeter -         Chr1:4061867              4.5                 20930           4690.0
14:44:42.607 INFO  ProgressMeter -         Chr1:4158231              4.6                 21520           4637.7
14:44:52.867 INFO  ProgressMeter -         Chr1:4223922              4.8                 21930           4558.1
14:45:04.088 INFO  ProgressMeter -         Chr1:4304526              5.0                 22430           4487.6
14:45:14.528 INFO  ProgressMeter -         Chr1:4325765              5.2                 22590           4367.5
14:45:24.686 INFO  ProgressMeter -         Chr1:4407533              5.3                 23100           4324.6
14:45:34.754 INFO  ProgressMeter -         Chr1:4595144              5.5                 24170           4387.1
14:45:45.314 INFO  ProgressMeter -         Chr1:4819195              5.7                 25400           4467.6
14:45:55.343 INFO  ProgressMeter -         Chr1:4858109              5.9                 25640           4381.0
14:46:05.349 INFO  ProgressMeter -         Chr1:5257928              6.0                 27320           4538.7
